Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
3361,166.0,121.05036716180642,6.0,72.38508867173363,31.0,263.9870561185387,48.0,166.04974573632686,56.0,117.41272670091205,19.0,76.87950149712714,5.0,31.675641431738992,1.0,72.92190792879906
3401,153.0,197.26917572428732,6.0,119.76047904191617,25.0,391.91095783038094,45.0,250.18068605103687,54.0,207.06315426204992,21.0,158.33521827640806,2.0,22.621875353466802,,
3402,68.0,136.23705247130007,4.0,140.6964474147028,11.0,275.1375687843922,27.0,212.78272519505083,19.0,114.8660903210205,7.0,82.82063416942735,0.0,0.0,0.0,0.0
3403,196.0,115.9235141385286,6.0,66.20324395895399,30.0,238.8535031847134,69.0,141.0033718197609,63.0,112.62066499821238,21.0,81.23791102514507,7.0,41.843505290214594,,
3404,295.0,178.51631760170892,19.0,215.51724137931035,40.0,334.33634236041456,100.0,192.53354897090819,108.0,206.6194757987373,26.0,110.72782249478301,2.0,11.918240867647935,,
3405,59.0,77.54077461919594,2.0,50.787201625190455,6.0,113.37868480725623,16.0,85.16074089844582,25.0,107.55463775598004,7.0,50.20800459044614,3.0,27.56086357372531,,
3451,148.0,118.533706020391,7.0,98.74453378473692,28.0,267.8913126674321,43.0,164.42965852166265,56.0,128.45215157353886,11.0,48.84330180720217,3.0,19.93355481727575,,
3452,100.0,52.71648022604827,6.0,59.98200539838049,13.0,85.0117708605807,26.0,63.537059211651716,42.0,64.15053993371112,12.0,32.362459546925564,1.0,4.778515792994696,,
3453,282.0,165.21953105775654,8.0,68.89424733034791,36.0,217.3781776462774,96.0,216.5429815261769,115.0,194.8359989156953,24.0,96.17311160088158,3.0,21.131224906670422,,
3454,378.0,115.61259382053744,19.0,96.27077421970004,44.0,153.68494586098498,124.0,157.57637371016114,145.0,126.28681913985612,45.0,83.20236664509568,1.0,3.226535024037685,,
